CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
MNP.JO,MONDI PLC,General Industrials,127.0,0.0111,44798.51,353.66,STXFIN,STXCAP,0,,,,,,,,1.02,0.9,1.0,1.02,0.99,1.2
MPT.JO,Mpact,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.11,0.96,0.88,1.11,1.05,1.08
MUR.JO,Murray& Roberts,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.24,1.93,1.88,1.24,2.12,2.09
NPK.JO,Nampak,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.5,1.96,1.94,1.5,2.15,2.16
NVS.JO,Novus,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.97,1.09,1.06,0.97,1.19,1.26
SOH.JO,South Ocean Holdings,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.49,1.68,1.93,1.5,1.84,2.15
TPC.JO,Transpaco,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.1,1.01,1.02,1.1,1.11,1.22
TRL.JO,Trellidor,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.91,1.15,0.91,0.91,1.26,1.11
TRE.JO,Trencor,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.98,0.88,0.94,0.98,0.97,1.14
LHC.JO,LIFE HEALTHCARE GROUP,Health Care Providers,957.0,0.003,12059.76,12.6,STXFIN,STXCAP,0,,,,,,,,0.98,1.04,0.63,0.98,1.14,0.82
NTC.JO,NETCARE,Health Care Providers,937.0,0.0029,11701.82,12.49,STXFIN,STXCAP,0,,,,,,,,0.92,0.9,0.76,0.92,0.98,0.96
