CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
EMI.JO,EMIRA,Real Estate Investment Trusts,153.0,0.0004,1708.05,11.18,STXPRO,%5EJ300,0,,,,,0.98,1.03,1.19,0.97,1.08,1.34
ENX.JO,ENX Group,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.16,0.55,0.57,1.16,0.6,0.77
EOH.JO,EOH,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,0.98,1.02,1.24,0.97,1.11,1.46
EPE.JO,EPE Capital,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.06,0.91,0.75,1.05,1.0,0.95
EQU.JO,EQUITES PROPERTY FUND LTD,Real Estate Investment Trusts,528.0,0.0018,7184.94,13.62,STXPRO,%5EJ300,0,,,,,0.98,1.0,0.9,0.97,1.05,1.06
EXX.JO,EXXARO RESOURCES LTD,Oil & Gas and Coal,163.0,0.0078,31388.39,192.6,STXRES,%5EJ300,0,,,,,1.03,1.14,0.89,0.98,1.02,1.14
FBR.JO,FAMOUS BRANDS LTD,Travel & Leisure,59.0,0.0008,3188.34,53.82,STXFIN,%5EJ300,0,,,,,1.0,0.92,0.86,0.99,1.01,1.06
FFB.JO,FORTRESS REIT LTD B,Real Estate Investment & Serv,804.0,0.0033,13204.0,16.42,STXPRO,%5EJ300,0,,,,,1.06,1.07,1.06,1.05,1.12,1.21
FGL.JO,Finbond Group,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,0,,,,,0.83,1.08,1.5,0.83,1.18,1.72
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,0,,,,,1.03,1.06,1.1,1.03,1.16,1.31
FTB.JO,FAIRVEST LIMITED B,Real Estate Investment Trusts,932.0,0.0009,3681.48,3.95,STXPRO,%5EJ300,0,,,,,1.02,1.02,1.03,1.01,1.07,1.18
FTH.JO,Frontier Transport,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,0,,,,,1.07,1.06,1.07,1.07,1.15,1.28
GC=F,Gold Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,2554.04,2554.04,-1.0,-1.0,1.03,0.92,1.09,1.03,1.01,1.29
GFI.JO,GOLDFIELDS LTD,Precious Metals and Mining,595.0,0.0421,169740.04,285.45,STXRES,%5EJ300,0,,,,,1.12,1.05,1.0,1.07,0.94,1.26
GLN.JO,GLENCORE PLC,Industrial Metals & Mining,412.0,0.0113,45482.8,110.46,STXRES,%5EJ300,0,,,,,0.88,0.93,0.84,0.84,0.83,1.08
GND.JO,GRINDROD,Industrial Transportation,391.0,0.0015,6179.09,15.81,STXFIN,%5EJ300,0,,,,,0.98,1.08,1.14,0.98,1.17,1.35
GPL.JO,Grand Parade Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.09,0.98,1.11,1.09,1.07,1.32
GRT.JO,GROWTHPOINT,Real Estate Investment Trusts,2260.0,0.0069,27635.61,12.23,STXPRO,%5EJ300,0,,,,,1.05,1.07,1.02,1.04,1.13,1.17
HAR.JO,HARMONY GOLD MINING,Precious Metals and Mining,376.0,0.0165,66466.68,176.6,STXRES,%5EJ300,0,,,,,1.01,1.08,1.29,0.97,0.97,1.56
HCI.JO,HCI,Investment Banking and Brokerage Service,29.0,0.0013,5205.71,179.58,STXFIN,%5EJ300,0,,,,,0.99,0.9,0.88,0.99,0.98,1.09
HDC.JO,HUDACO,Industrial Support Services,22.0,0.001,3884.65,179.5,STXFIN,%5EJ300,0,,,,,1.0,0.96,0.97,1.0,1.05,1.18
HG=F,Copper,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,75.86,75.86,-1.0,-1.0,0.88,0.73,0.94,0.88,0.8,1.14
HIL.JO,Homechoice,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,101.47,0.91,1.02,101.28,0.99,1.23
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.11,1.17,1.24,1.1,1.28,1.45
HMN.JO,HAMMERSON PLC,Real Estate Investment Trusts,448.0,0.0008,3025.87,6.76,STXPRO,%5EJ300,0,,,,,1.01,0.94,1.01,1.0,0.99,1.17
HUG.JO,Huge Group,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.02,0.86,0.89,1.02,0.94,1.1
HYP.JO,HYPROP,Real Estate Investment Trusts,248.0,0.002,8117.3,32.71,STXPRO,%5EJ300,0,,,,,1.02,1.06,0.93,1.01,1.11,1.08
IMP.JO,IMPLATS,Precious Metals and Mining,548.0,0.0129,51903.59,94.66,STXRES,%5EJ300,0,,,,,0.93,0.95,1.12,0.89,0.85,1.38
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,0,,,,,1.0,0.97,1.01,0.99,1.06,1.22
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,0,,,,,1.0,0.97,1.01,1.0,1.06,1.22
ISA.JO,ISA Holdings,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,0.92,1.02,1.09,0.92,1.11,1.3
ISB.JO,Insimbi,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,0.95,0.92,0.71,0.95,1.0,0.91
ITE.JO,ITALTILE,Retailers,297.0,0.0009,3538.65,11.9,STXFIN,%5EJ300,0,,,,,1.02,1.14,0.95,1.02,1.25,1.16
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,0,,,,,1.06,1.05,0.99,1.06,1.14,1.2
JSE.JO,JSE,Investment Banking and Brokerage Service,59.0,0.0016,6313.99,106.5,STXFIN,%5EJ300,0,,,,,1.01,1.07,1.11,1.0,1.17,1.32
KAL.JO,KAL Group,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.0,0.99,1.0,1.0,1.08,1.21
KAP.JO,KAP INDUSTRIAL HOLDINGS LTD,General Industrials,1649.0,0.0012,4700.99,2.85,STXFIN,%5EJ300,0,,,,,1.06,1.03,1.24,1.06,1.13,1.46
KIO.JO,KUMBA IRON ORE LTD,Industrial Metals & Mining,37.0,0.0042,16904.86,460.63,STXRES,%5EJ300,0,,,,,0.88,0.83,0.6,0.84,0.74,0.82
KST.JO,PSG KONSULT LTD,Investment Banking and Brokerage Service,697.0,0.0031,12360.01,17.74,STXFIN,%5EJ300,0,,,,,0.92,0.95,0.96,0.92,1.04,1.17
LBR.JO,Libstar Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.07,0.95,1.03,1.07,1.04,1.24
LEW.JO,Lewis,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.05,1.15,1.19,1.05,1.25,1.41
LHC.JO,LIFE HEALTHCARE GROUP,Health Care Providers,957.0,0.003,12059.76,12.6,STXFIN,%5EJ300,0,,,,,1.05,1.09,0.66,1.05,1.19,0.86
LTE.JO,LIGHTHOUSE CAPITAL LTD,Real Estate Investment & Serv,690.0,0.0014,5519.54,8.0,STXPRO,%5EJ300,0,,,,,1.05,0.95,1.03,1.04,0.99,1.18
MCG.JO,MULTICHOICE GROUP LTD,Telecommunications Service Providers,191.0,0.005,20039.83,104.8,STXFIN,%5EJ300,0,,,,,1.04,0.82,0.97,1.04,0.9,1.18
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,0.99,0.92,0.85,0.99,1.01,1.05
MFL.JO,Metrofile,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.91,0.83,1.0,1.0,1.04
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,0,,,,,1.09,1.14,0.76,1.09,1.24,0.96
MNP.JO,MONDI PLC,General Industrials,127.0,0.0111,44798.51,353.66,STXFIN,%5EJ300,0,,,,,0.96,0.83,0.92,0.95,0.91,1.13
MPT.JO,Mpact,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.06,0.98,0.92,1.06,1.07,1.13
MRP.JO,MR PRICE GROUP LTD,Retailers,168.0,0.0083,33520.05,199.53,STXFIN,%5EJ300,0,,,,,1.08,1.06,1.16,1.08,1.16,1.37
MSP.JO,MAS REAL ESTATE INC,Real Estate Investment & Serv,301.0,0.0013,5388.85,17.91,STXPRO,%5EJ300,0,,,,,1.03,1.0,0.97,1.02,1.05,1.13
MST.JO,Mustek,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.26,1.32,0.9,1.26,1.44,1.11
MTA.JO,Metair Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.13,1.04,0.9,1.13,1.13,1.11
MTH.JO,MOTUS HOLDINGS LTD,Retailers,99.0,0.0024,9726.47,98.72,STXFIN,%5EJ300,0,,,,,1.04,1.06,0.91,1.04,1.16,1.12
MTM.JO,MTM MOMENTUM METROPOLITAN HOLDINGS LTD,Life Insurance,779.0,0.0045,18106.79,23.25,STXFIN,%5EJ300,0,,,,,1.15,1.08,1.18,1.14,1.18,1.39
MTN.JO,MTN GROUP,Telecommunications Service Providers,1220.0,0.0249,100211.73,82.14,STXFIN,%5EJ300,0,,,,,0.92,0.72,0.71,0.92,0.79,0.92
MUR.JO,Murray& Roberts,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.29,1.7,2.33,1.29,1.85,2.57
N91.JO,Ninety One Plc,Investment Banking and Brokerage Service,123.0,0.0012,4909.47,39.88,STXFIN,%5EJ300,0,,,,,0.97,0.85,0.82,0.97,0.93,1.02
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,0,,,,,1.06,1.04,1.09,1.06,1.14,1.31
NPH.JO,Northam Platinum Holdings,Precious Metals and Mining,241.0,0.0076,30636.23,127.22,STXRES,%5EJ300,0,,,,,1.1,1.07,1.06,1.05,0.96,1.32
NPK.JO,Nampak,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.19,1.9,1.74,1.19,2.07,1.97
NPN.JO,NASPERS -N,Software & Computer Services,93.0,0.0811,326912.28,3531.13,STXACW,%5EJ300,0,,,,,1.03,0.93,,0.99,0.9,1.11
NRP.JO,NEPI ROCKCASTLE PLC,Real Estate Investment & Serv,373.0,0.0121,48760.45,130.89,STXPRO,%5EJ300,0,,,,,1.07,1.03,1.03,1.06,1.08,1.18
NTC.JO,NETCARE,Health Care Providers,937.0,0.0029,11701.82,12.49,STXFIN,%5EJ300,0,,,,,1.04,1.0,0.84,1.04,1.09,1.05
NVS.JO,Novus,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.11,1.18,1.16,1.11,1.29,1.37
NWL.JO,Nuworld,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.96,0.92,0.85,0.96,1.0,1.06
NY1.JO,Ninety One Limited,Investment Banking and Brokerage Service,150.0,0.0015,5904.26,39.44,STXFIN,%5EJ300,0,,,,,0.97,0.86,0.82,0.97,0.93,1.02
OCE.JO,OCEANA,Food Producers,59.0,0.001,4187.89,71.49,STXFIN,%5EJ300,0,,,,,0.97,0.86,0.85,0.97,0.94,1.06
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,%5EJ300,0,,,,,0.94,1.04,0.92,0.94,1.13,1.12
OMU.JO,OLD MUTUAL LTD,Life Insurance,2941.0,0.0092,36884.29,12.54,STXFIN,%5EJ300,0,,,,,0.96,0.98,0.89,0.96,1.07,1.1
OUT.JO,OUTSURANCE,Nonlife Insurance,574.0,0.0067,27121.55,47.25,STXFIN,%5EJ300,0,,,,,1.01,1.03,1.03,1.01,1.12,1.24
PA=F,Palladium Sep 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,1198.69,1198.69,-1.0,-1.0,0.85,0.76,0.79,0.85,0.83,0.98
PAN.JO,PAN AFRICAN RESOURCE,Precious Metals and Mining,1068.0,0.0017,6726.23,6.3,STXRES,%5EJ300,0,,,,,1.14,1.27,1.4,1.09,1.14,1.68
PIK.JO,PIK N PAY,Personal Care Drug and Grocery Stores,249.0,0.0017,6684.26,26.8,STXFIN,%5EJ300,0,,,,,0.99,0.98,0.77,0.99,1.06,0.97
