CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
DTC.JO,DATATEC,Software & Computer Services,139.0,0.0013,5262.69,37.99,STXFIN,%5EJ300,3521.0,0.98,0.87,0.79,0.98,0.96,1.0
EMH.JO,E-Media,Media,,0.0,,,STXFIN,%5EJ300,328.0,1.01,0.92,0.86,1.01,1.01,1.07
EMI.JO,EMIRA,Real Estate Investment Trusts,153.0,0.0004,1708.05,11.18,STXPRO,%5EJ300,1106.0,1.05,1.13,1.23,1.04,1.21,1.37
ENX.JO,ENX Group,General Industrials,,0.0,,,STXFIN,%5EJ300,526.0,1.11,0.97,1.0,1.11,1.07,1.21
EOH.JO,EOH,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,158.0,1.04,1.05,1.18,1.05,1.15,1.39
EPE.JO,EPE Capital,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,402.0,1.08,0.95,0.74,1.08,1.05,0.94
EQU.JO,EQUITES PROPERTY FUND LTD,Real Estate Investment Trusts,528.0,0.0018,7184.94,13.62,STXPRO,%5EJ300,1328.0,1.0,0.98,0.95,1.0,1.05,1.1
EXX.JO,EXXARO RESOURCES LTD,Oil & Gas and Coal,163.0,0.0078,31388.39,192.6,STXRES,%5EJ300,18414.0,1.0,1.08,0.92,0.95,0.98,1.14
FBR.JO,FAMOUS BRANDS LTD,Travel & Leisure,59.0,0.0008,3188.34,53.82,STXFIN,%5EJ300,5555.0,1.08,1.0,0.88,1.08,1.1,1.09
FFB.JO,FORTRESS REIT LTD B,Real Estate Investment & Serv,804.0,0.0033,13204.0,16.42,STXPRO,%5EJ300,1732.0,1.07,1.06,1.09,1.07,1.13,1.23
FGL.JO,Finbond Group,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,54.0,0.91,1.13,1.58,0.91,1.24,1.81
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,7975.0,1.02,1.06,1.15,1.02,1.16,1.36
FTB.JO,FAIRVEST LIMITED B,Real Estate Investment Trusts,932.0,0.0009,3681.48,3.95,STXPRO,%5EJ300,419.0,1.07,1.13,1.12,1.07,1.21,1.27
FTH.JO,Frontier Transport,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,740.0,1.04,1.22,1.14,1.05,1.34,1.36
GC=F,Gold Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,1.01,0.93,1.08,1.01,1.01,1.29
GFI.JO,GOLDFIELDS LTD,Precious Metals and Mining,595.0,0.0421,169740.04,285.45,STXRES,%5EJ300,29083.0,1.06,1.02,0.99,1.01,0.93,1.21
GLN.JO,GLENCORE PLC,Industrial Metals & Mining,412.0,0.0113,45482.8,110.46,STXRES,%5EJ300,9400.0,0.9,0.9,0.88,0.85,0.82,1.1
GND.JO,GRINDROD,Industrial Transportation,391.0,0.0015,6179.09,15.81,STXFIN,%5EJ300,1553.0,1.01,1.07,1.17,1.01,1.17,1.38
GPL.JO,Grand Parade Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,370.0,1.1,0.98,1.12,1.1,1.07,1.33
GRT.JO,GROWTHPOINT,Real Estate Investment Trusts,2260.0,0.0069,27635.61,12.23,STXPRO,%5EJ300,1300.0,1.06,1.1,1.08,1.06,1.17,1.23
HAR.JO,HARMONY GOLD MINING,Precious Metals and Mining,376.0,0.0165,66466.68,176.6,STXRES,%5EJ300,17461.0,1.06,1.1,1.41,1.0,1.0,1.65
HCI.JO,HCI,Investment Banking and Brokerage Service,29.0,0.0013,5205.71,179.58,STXFIN,%5EJ300,18315.0,1.04,0.91,0.91,1.04,1.0,1.11
HDC.JO,HUDACO,Industrial Support Services,22.0,0.001,3884.65,179.5,STXFIN,%5EJ300,18190.0,1.05,0.98,1.01,1.05,1.08,1.22
HG=F,Copper,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.9,0.71,0.93,0.9,0.77,1.13
HIL.JO,Homechoice,Retailers,,0.0,,,STXFIN,%5EJ300,2480.0,100.19,0.89,1.03,100.45,0.98,1.24
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,420.0,1.0,1.08,1.16,1.0,1.18,1.37
HMN.JO,HAMMERSON PLC,Real Estate Investment Trusts,448.0,0.0008,3025.87,6.76,STXPRO,%5EJ300,633.0,0.95,0.89,0.95,0.95,0.95,1.1
HUG.JO,Huge Group,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,205.0,0.95,0.77,0.88,0.96,0.84,1.08
HYP.JO,HYPROP,Real Estate Investment Trusts,248.0,0.002,8117.3,32.71,STXPRO,%5EJ300,3309.0,1.04,1.06,0.94,1.04,1.14,1.09
IMP.JO,IMPLATS,Precious Metals and Mining,548.0,0.0129,51903.59,94.66,STXRES,%5EJ300,8250.0,0.92,0.87,1.05,0.88,0.79,1.28
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,13450.0,0.98,0.95,0.99,0.99,1.04,1.19
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,13374.0,0.97,0.93,0.97,0.97,1.03,1.18
ISA.JO,ISA Holdings,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,181.0,0.97,1.05,1.16,0.98,1.15,1.38
ISB.JO,Insimbi,General Industrials,,0.0,,,STXFIN,%5EJ300,75.0,0.95,0.71,0.69,0.95,0.78,0.89
ITE.JO,ITALTILE,Retailers,297.0,0.0009,3538.65,11.9,STXFIN,%5EJ300,1139.0,0.97,1.08,0.96,0.98,1.18,1.17
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,3110.0,1.09,1.11,1.04,1.09,1.22,1.25
JSE.JO,JSE,Investment Banking and Brokerage Service,59.0,0.0016,6313.99,106.5,STXFIN,%5EJ300,10550.0,1.03,1.03,1.2,1.03,1.14,1.42
KAL.JO,KAL Group,Retailers,,0.0,,,STXFIN,%5EJ300,4750.0,1.01,0.99,0.99,1.01,1.09,1.2
KAP.JO,KAP INDUSTRIAL HOLDINGS LTD,General Industrials,1649.0,0.0012,4700.99,2.85,STXFIN,%5EJ300,289.0,0.99,0.99,1.1,0.99,1.09,1.32
KIO.JO,KUMBA IRON ORE LTD,Industrial Metals & Mining,37.0,0.0042,16904.86,460.63,STXRES,%5EJ300,38553.0,0.91,0.79,0.64,0.86,0.72,0.85
KST.JO,PSG KONSULT LTD,Investment Banking and Brokerage Service,697.0,0.0031,12360.01,17.74,STXFIN,%5EJ300,1630.0,0.93,0.94,0.98,0.93,1.04,1.19
LBR.JO,Libstar Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,410.0,1.07,0.97,1.08,1.07,1.06,1.29
LEW.JO,Lewis,Retailers,,0.0,,,STXFIN,%5EJ300,5875.0,1.12,1.23,1.28,1.12,1.35,1.49
