CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
EPE.JO,EPE Capital,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,418.0,418.0,-1.0,-1.0,-1.0,-1.0,2.12,0.01,1.01,1.09,0.95,0.77,1.09,1.04,0.97
EQU.JO,EQUITES PROPERTY FUND LTD,Real Estate Investment Trusts,528.0,0.0018,7184.94,13.62,STXPRO,%5EJ300,1313.0,1313.0,-1.0,-1.0,-1.0,-1.0,-0.14,0.02,1.02,1.0,0.98,0.91,0.99,1.03,1.05
EXX.JO,EXXARO RESOURCES LTD,Oil & Gas and Coal,163.0,0.0078,31388.39,192.6,STXRES,%5EJ300,18836.0,18836.0,-1.0,-1.0,-1.0,-1.0,-1.26,0.04,1.04,1.02,1.1,0.88,0.98,1.01,1.13
FBR.JO,FAMOUS BRANDS LTD,Travel & Leisure,59.0,0.0008,3188.34,53.82,STXFIN,%5EJ300,5390.0,5390.0,-1.0,-1.0,-1.0,-1.0,0.96,0.04,1.04,1.02,0.95,0.86,1.02,1.04,1.07
FFB.JO,FORTRESS REIT LTD B,Real Estate Investment & Serv,804.0,0.0033,13204.0,16.42,STXPRO,%5EJ300,1705.0,1705.0,-1.0,-1.0,-1.0,-1.0,1.05,0.03,1.03,1.06,1.06,1.04,1.05,1.12,1.18
FGL.JO,Finbond Group,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,54.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.6,0.05,1.05,0.91,1.22,1.63,0.91,1.33,1.86
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,7887.0,7887.0,-1.0,-1.0,-1.0,-1.0,-0.33,0.06,1.06,1.01,1.05,1.09,1.02,1.15,1.3
FTB.JO,FAIRVEST LIMITED B,Real Estate Investment Trusts,932.0,0.0009,3681.48,3.95,STXPRO,%5EJ300,401.0,401.0,-1.0,-1.0,-1.0,-1.0,0.5,0.02,1.02,0.99,1.02,1.01,0.98,1.08,1.15
FTH.JO,Frontier Transport,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,691.0,691.0,-1.0,-1.0,-1.0,-1.0,-2.6,0.07,1.07,1.02,1.06,1.03,1.03,1.16,1.24
GC=F,Gold Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,2554.04,2554.04,-1.0,-1.0,-1.0,-1.0,-0.9,-0.03,0.97,1.02,0.91,1.06,1.02,1.0,1.26
GFI.JO,GOLDFIELDS LTD,Precious Metals and Mining,595.0,0.0421,169740.04,285.45,STXRES,%5EJ300,30493.0,30493.0,-1.0,-1.0,-1.0,-1.0,0.3,0.04,1.04,1.1,1.06,1.02,1.06,0.98,1.28
GLN.JO,GLENCORE PLC,Industrial Metals & Mining,412.0,0.0113,45482.8,110.46,STXRES,%5EJ300,9400.0,9400.0,-1.0,-1.0,-1.0,-1.0,-1.34,-0.03,0.97,0.88,0.91,0.83,0.84,0.84,1.08
GND.JO,GRINDROD,Industrial Transportation,391.0,0.0015,6179.09,15.81,STXFIN,%5EJ300,1544.0,1544.0,-1.0,-1.0,-1.0,-1.0,-0.9,0.05,1.05,0.99,1.06,1.11,0.99,1.16,1.32
GPL.JO,Grand Parade Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,369.0,369.0,-1.0,-1.0,-1.0,-1.0,0.83,0.01,1.01,1.13,0.99,1.13,1.13,1.08,1.34
GRT.JO,GROWTHPOINT,Real Estate Investment Trusts,2260.0,0.0069,27635.61,12.23,STXPRO,%5EJ300,1289.0,1289.0,-1.0,-1.0,-1.0,-1.0,2.19,0.03,1.03,1.08,1.09,1.04,1.06,1.15,1.17
HAR.JO,HARMONY GOLD MINING,Precious Metals and Mining,376.0,0.0165,66466.68,176.6,STXRES,%5EJ300,17653.0,17653.0,-1.0,-1.0,-1.0,-1.0,0.24,0.02,1.02,1.02,1.09,1.35,0.98,1.01,1.63
HCI.JO,HCI,Investment Banking and Brokerage Service,29.0,0.0013,5205.71,179.58,STXFIN,%5EJ300,18017.0,18017.0,-1.0,-1.0,-1.0,-1.0,-0.8,0.05,1.05,1.02,0.94,0.9,1.02,1.02,1.11
HDC.JO,HUDACO,Industrial Support Services,22.0,0.001,3884.65,179.5,STXFIN,%5EJ300,17940.0,17940.0,-1.0,-1.0,-1.0,-1.0,0.69,0.02,1.02,1.0,0.96,0.95,1.0,1.05,1.16
HG=F,Copper,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,75.86,75.86,-1.0,-1.0,-1.0,-1.0,,,,0.88,0.73,0.94,0.88,0.81,1.13
HIL.JO,Homechoice,Retailers,,0.0,,,STXFIN,%5EJ300,2450.0,2450.0,-1.0,-1.0,-1.0,-1.0,1.29,-0.38,0.62,98.96,0.89,0.99,99.23,0.97,1.2
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,430.0,430.0,-1.0,-1.0,-1.0,-1.0,-0.21,0.06,1.06,1.07,1.16,1.18,1.07,1.26,1.4
HMN.JO,HAMMERSON PLC,Real Estate Investment Trusts,448.0,0.0008,3025.87,6.76,STXPRO,%5EJ300,643.0,643.0,-1.0,-1.0,-1.0,-1.0,-1.98,0.02,1.02,0.99,0.93,0.99,0.97,0.98,1.13
HUG.JO,Huge Group,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,220.0,220.0,-1.0,-1.0,-1.0,-1.0,1.14,-0.0,1.0,0.97,0.86,0.88,0.97,0.94,1.09
HYP.JO,HYPROP,Real Estate Investment Trusts,248.0,0.002,8117.3,32.71,STXPRO,%5EJ300,3299.0,3299.0,-1.0,-1.0,-1.0,-1.0,1.73,0.04,1.04,1.05,1.06,0.96,1.04,1.12,1.1
IMP.JO,IMPLATS,Precious Metals and Mining,548.0,0.0129,51903.59,94.66,STXRES,%5EJ300,8132.0,8132.0,-1.0,-1.0,-1.0,-1.0,-2.03,-0.01,0.99,0.9,0.88,1.08,0.86,0.81,1.35
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,13380.0,13380.0,-1.0,-1.0,-1.0,-1.0,-1.69,0.04,1.04,0.99,0.97,1.01,0.99,1.06,1.22
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,13446.0,13446.0,-1.0,-1.0,-1.0,-1.0,-1.72,0.04,1.04,0.99,0.97,1.01,0.99,1.06,1.22
ISA.JO,ISA Holdings,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,181.0,181.0,-1.0,-1.0,-1.0,-1.0,-1.27,0.03,1.03,0.92,1.0,1.11,0.92,1.1,1.32
ISB.JO,Insimbi,General Industrials,,0.0,,,STXFIN,%5EJ300,75.0,75.0,-1.0,-1.0,-1.0,-1.0,-0.73,-0.02,0.98,0.96,0.77,0.69,0.96,0.84,0.9
ITE.JO,ITALTILE,Retailers,297.0,0.0009,3538.65,11.9,STXFIN,%5EJ300,1158.0,1158.0,-1.0,-1.0,-1.0,-1.0,-0.87,0.08,1.08,0.97,1.11,0.9,0.98,1.21,1.11
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,3100.0,3100.0,-1.0,-1.0,-1.0,-1.0,0.59,0.08,1.08,1.07,1.06,1.02,1.07,1.16,1.23
JSE.JO,JSE,Investment Banking and Brokerage Service,59.0,0.0016,6313.99,106.5,STXFIN,%5EJ300,10427.0,10427.0,-1.0,-1.0,-1.0,-1.0,-0.04,0.03,1.03,1.02,1.07,1.12,1.02,1.17,1.33
KAL.JO,KAL Group,Retailers,,0.0,,,STXFIN,%5EJ300,4799.0,4799.0,-1.0,-1.0,-1.0,-1.0,0.64,0.01,1.01,0.98,0.99,0.98,0.99,1.08,1.19
KAP.JO,KAP INDUSTRIAL HOLDINGS LTD,General Industrials,1649.0,0.0012,4700.99,2.85,STXFIN,%5EJ300,294.0,294.0,-1.0,-1.0,-1.0,-1.0,-0.64,0.05,1.05,0.98,0.99,1.13,0.98,1.08,1.35
KIO.JO,KUMBA IRON ORE LTD,Industrial Metals & Mining,37.0,0.0042,16904.86,460.63,STXRES,%5EJ300,38823.0,38823.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.07,0.93,0.91,0.79,0.59,0.87,0.73,0.81
KST.JO,PSG KONSULT LTD,Investment Banking and Brokerage Service,697.0,0.0031,12360.01,17.74,STXFIN,%5EJ300,1636.0,1636.0,-1.0,-1.0,-1.0,-1.0,-1.17,0.02,1.02,0.92,0.94,0.94,0.92,1.02,1.15
LBR.JO,Libstar Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,390.0,390.0,-1.0,-1.0,-1.0,-1.0,0.24,0.02,1.02,1.02,0.94,0.99,1.03,1.02,1.21
LEW.JO,Lewis,Retailers,,0.0,,,STXFIN,%5EJ300,5637.0,5637.0,-1.0,-1.0,-1.0,-1.0,0.66,0.06,1.06,1.02,1.13,1.17,1.02,1.24,1.38
LHC.JO,LIFE HEALTHCARE GROUP,Health Care Providers,957.0,0.003,12059.76,12.6,STXFIN,%5EJ300,1299.0,1299.0,-1.0,-1.0,-1.0,-1.0,0.29,0.04,1.04,1.07,1.08,0.64,1.07,1.18,0.85
LTE.JO,LIGHTHOUSE CAPITAL LTD,Real Estate Investment & Serv,690.0,0.0014,5519.54,8.0,STXPRO,%5EJ300,813.0,813.0,-1.0,-1.0,-1.0,-1.0,0.63,0.01,1.01,1.05,0.94,1.01,1.03,0.99,1.15
MCG.JO,MULTICHOICE GROUP LTD,Telecommunications Service Providers,191.0,0.005,20039.83,104.8,STXFIN,%5EJ300,10752.0,10752.0,-1.0,-1.0,-1.0,-1.0,-0.76,-0.01,0.99,1.04,0.82,0.93,1.04,0.9,1.14
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,1209.0,1209.0,-1.0,-1.0,-1.0,-1.0,0.92,-0.01,0.99,0.99,0.89,0.82,1.0,0.98,1.03
MFL.JO,Metrofile,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,240.0,240.0,-1.0,-1.0,-1.0,-1.0,-0.06,-0.02,0.98,0.92,0.93,0.82,0.92,1.02,1.03
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,9700.0,9700.0,-1.0,-1.0,-1.0,-1.0,-2.04,0.03,1.03,1.04,1.01,0.72,1.04,1.1,0.92
MNP.JO,MONDI PLC,General Industrials,127.0,0.0111,44798.51,353.66,STXFIN,%5EJ300,34039.0,34039.0,-1.0,-1.0,-1.0,-1.0,-1.56,0.01,1.01,0.95,0.84,0.92,0.95,0.91,1.13
MPT.JO,Mpact,General Industrials,,0.0,,,STXFIN,%5EJ300,2933.0,2933.0,-1.0,-1.0,-1.0,-1.0,0.68,0.05,1.05,1.07,0.99,0.92,1.07,1.08,1.13
MRP.JO,MR PRICE GROUP LTD,Retailers,168.0,0.0083,33520.05,199.53,STXFIN,%5EJ300,21451.0,21451.0,-1.0,-1.0,-1.0,-1.0,1.07,0.06,1.06,1.07,1.07,1.16,1.07,1.17,1.38
MSP.JO,MAS REAL ESTATE INC,Real Estate Investment & Serv,301.0,0.0013,5388.85,17.91,STXPRO,%5EJ300,1780.0,1780.0,-1.0,-1.0,-1.0,-1.0,-0.67,0.03,1.03,0.99,0.98,0.95,0.98,1.04,1.1
MST.JO,Mustek,Retailers,,0.0,,,STXFIN,%5EJ300,1250.0,1250.0,-1.0,-1.0,-1.0,-1.0,0.54,0.12,1.12,1.29,1.32,0.88,1.29,1.45,1.09
MTA.JO,Metair Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,1251.0,1251.0,-1.0,-1.0,-1.0,-1.0,-1.52,0.1,1.1,1.12,1.05,0.91,1.13,1.14,1.12
MTH.JO,MOTUS HOLDINGS LTD,Retailers,99.0,0.0024,9726.47,98.72,STXFIN,%5EJ300,10201.0,10201.0,-1.0,-1.0,-1.0,-1.0,0.28,0.06,1.06,1.04,1.05,0.89,1.04,1.15,1.1
