code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
GSH.JO,Grindrod Shipping Hldg Ltd,Industrials,Industrial Transportation,%5EJ300.JO,STXFIN.JO,False,25902.0,25902.0,-1.0,-1.0,0.7,0.02,1.02,0.99,0.96,1.26,1.03,1.06,1.47
HCI.JO,Hosken Cons Inv Ltd,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,17856.0,17856.0,-1.0,-1.0,-1.24,0.01,1.01,0.95,0.91,0.89,0.98,1.01,1.09
HDC.JO,Hudaco Industries Ltd,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,18095.0,18095.0,-1.0,-1.0,0.08,0.01,1.01,1.02,0.98,1.01,1.06,1.09,1.22
HIL.JO,Homechoice Int plc,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,2900.0,2900.0,-1.0,-1.0,0.78,0.53,1.53,104.36,0.97,1.12,107.74,1.08,1.33
HUG.JO,Huge Group Ltd,Telecommunications,Telecommunication Service Providers,%5EJ300.JO,STXFIN.JO,False,200.0,200.0,-1.0,-1.0,-1.32,-0.01,0.99,0.98,76.37,0.9,1.01,84.3,1.09
IMP.JO,Impala Platinum Hlgs Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,8354.0,8354.0,-1.0,-1.0,-0.4,-0.04,0.96,0.96,0.81,1.08,0.88,0.72,1.29
INL.JO,Investec Ltd,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,13580.0,13580.0,-1.0,-1.0,-0.12,0.0,1.0,0.95,0.96,0.98,0.98,1.06,1.18
INP.JO,Investec plc,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,13559.0,13559.0,-1.0,-1.0,-0.28,0.0,1.0,0.93,0.95,0.97,0.96,1.05,1.17
ISA.JO,ISA Holdings Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,189.0,189.0,-1.0,-1.0,0.69,-0.0,1.0,0.91,1.02,1.21,0.94,1.12,1.41
ITE.JO,Italtile Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,1200.0,1200.0,-1.0,-1.0,1.27,0.0,1.0,0.98,1.13,0.95,1.01,1.25,1.15
IVT.JO,Invicta Holdings Ltd,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,3210.0,3210.0,-1.0,-1.0,2.27,0.06,1.06,1.04,1.11,1.05,1.07,1.23,1.26
JSE.JO,JSE Ltd,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,10749.0,10749.0,-1.0,-1.0,2.08,0.0,1.0,0.98,1.02,1.18,1.01,1.12,1.39
KAL.JO,KAL Group Limited,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,4750.0,4750.0,-1.0,-1.0,0.01,-0.01,0.99,0.94,0.9,0.98,0.97,1.0,1.18
KAP.JO,KAP Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,293.0,293.0,-1.0,-1.0,-0.31,0.0,1.0,0.96,0.98,1.11,0.99,1.08,1.32
KIO.JO,Kumba Iron Ore Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,35842.0,35842.0,-1.0,-1.0,-2.65,-0.08,0.92,0.97,0.81,0.63,0.89,0.72,0.84
KRO.JO,Karooooo Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,65246.0,65246.0,-1.0,-1.0,0.01,0.05,1.05,1.05,1.09,1.09,1.08,1.2,1.3
KST.JO,PSG Fin Services Ltd,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,1645.0,1645.0,-1.0,-1.0,0.26,-0.03,0.97,0.91,0.96,0.98,0.94,1.05,1.18
LBR.JO,Libstar Holdings Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,400.0,400.0,-1.0,-1.0,-0.06,0.02,1.02,1.0,0.95,1.07,1.03,1.05,1.27
LEW.JO,Lewis Group Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,6128.0,6128.0,-1.0,-1.0,2.11,0.04,1.04,1.07,1.18,1.25,1.11,1.3,1.46
LHC.JO,Life Healthc Grp Hldgs Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,1331.0,1331.0,-1.0,-1.0,1.14,0.01,1.01,0.99,1.12,1.01,1.03,1.24,1.22
LNF.JO,London Fin Inv Group plc,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,1480.0,1480.0,-1.0,-1.0,1.18,-0.08,0.92,1.18,110.27,1.12,1.22,121.71,1.32
MCG.JO,MultiChoice Group Ltd,Telecommunications,Telecommunication Service Providers,%5EJ300.JO,STXFIN.JO,False,10939.0,10939.0,-1.0,-1.0,1.41,0.01,1.01,0.97,0.83,0.93,1.0,0.92,1.13
